時間,設備,值
2024-10-19 11:03:57,SA-21/LED_LEVEL,8
2024-10-19 11:03:58,SA-21/LED_LEVEL,7
2024-10-19 11:04:00,SA-21/LED_LEVEL,8
2024-10-19 11:04:01,SA-21/LED_LEVEL,9
2024-10-19 11:04:07,SA-21/TEMP,33.13
2024-10-19 11:04:15,SA-21/TEMP,32.66
2024-10-19 11:04:19,SA-21/TEMP,33.13
2024-10-19 11:04:21,SA-21/TEMP,32.66
2024-10-19 11:04:27,SA-21/TEMP,33.13
2024-10-19 11:04:29,SA-21/TEMP,32.66
2024-10-19 11:05:25,SA-21/LED_LEVEL,10
2024-10-19 11:05:29,SA-21/LED_LEVEL,9
2024-10-19 11:05:29,SA-21/LED_LEVEL,7
2024-10-19 11:05:30,SA-21/LED_LEVEL,6
2024-10-19 11:06:00,SA-21/LED_LEVEL,7
2024-10-19 11:06:01,SA-21/LED_LEVEL,8
2024-10-19 11:06:02,SA-21/LED_LEVEL,9
2024-10-19 11:06:02,SA-21/LED_LEVEL,10
2024-10-19 11:06:04,SA-21/LED_LEVEL,9
2024-10-19 11:06:05,SA-21/LED_LEVEL,7
2024-10-19 11:06:05,SA-21/LED_LEVEL,6
2024-10-19 11:06:08,SA-21/LED_LEVEL,5
2024-10-19 11:06:08,SA-21/LED_LEVEL,4
2024-10-19 11:06:10,SA-21/LED_LEVEL,3
2024-10-19 11:06:12,SA-21/LED_LEVEL,2
2024-10-19 11:06:13,SA-21/LED_LEVEL,1
2024-10-19 11:06:14,SA-21/LED_LEVEL,0
2024-10-19 11:06:18,SA-21/LED_LEVEL,1
2024-10-19 11:06:20,SA-21/LED_LEVEL,3
2024-10-19 11:06:20,SA-21/LED_LEVEL,4
2024-10-19 11:06:21,SA-21/LED_LEVEL,5
2024-10-19 11:06:22,SA-21/LED_LEVEL,6
2024-10-19 11:06:22,SA-21/LED_LEVEL,7
2024-10-19 11:07:21,SA-21/TEMP,32.19
2024-10-19 11:07:23,SA-21/TEMP,32.66
2024-10-19 11:07:33,SA-21/TEMP,33.13
2024-10-19 11:07:35,SA-21/TEMP,32.66
2024-10-19 11:08:55,SA-21/TEMP,33.13
2024-10-19 11:08:56,SA-21/TEMP,32.66
2024-10-19 11:08:58,SA-21/LED_LEVEL,8
2024-10-19 11:08:59,SA-21/LED_LEVEL,9
2024-10-19 11:09:00,SA-21/TEMP,33.6
2024-10-19 11:09:02,SA-21/TEMP,32.66
2024-10-19 11:09:10,SA-21/TEMP,33.13
2024-10-19 11:09:14,SA-21/TEMP,32.66
2024-10-19 11:09:30,SA-21/TEMP,33.13
2024-10-19 11:09:32,SA-21/TEMP,32.66
2024-10-19 11:09:36,SA-21/TEMP,33.13
2024-10-19 11:09:40,SA-21/TEMP,32.66
2024-10-19 11:10:28,SA-21/TEMP,33.13
2024-10-19 11:10:30,SA-21/TEMP,32.66
2024-10-19 11:10:42,SA-21/TEMP,33.13
2024-10-19 11:10:44,SA-21/TEMP,32.66
2024-10-19 11:10:52,SA-21/TEMP,33.13
2024-10-19 11:10:56,SA-21/TEMP,32.66
2024-10-19 11:11:22,SA-21/TEMP,33.13
2024-10-19 11:11:24,SA-21/TEMP,32.66
2024-10-19 11:11:56,SA-21/TEMP,33.13
2024-10-19 11:12:00,SA-21/TEMP,32.66
2024-10-19 11:12:04,SA-21/TEMP,33.13
2024-10-19 11:12:06,SA-21/TEMP,32.66
2024-10-19 11:12:14,SA-21/TEMP,33.13
2024-10-19 11:12:18,SA-21/TEMP,32.66
2024-10-19 11:12:24,SA-21/TEMP,33.13
2024-10-19 11:12:26,SA-21/TEMP,32.66
2024-10-19 11:12:36,SA-21/TEMP,33.13
2024-10-19 11:12:38,SA-21/TEMP,32.66
